record_id,vectorspecies,vectorstage,bmicroti,aphagocytophylum,bburgdorferi,pow,town,county,site,samplesource,pcrsampletype,project,notebook,pageextract,typeextract,numberspecimensinpool,pagepcr
2882,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2883,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2884,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2885,65,nymph,0,0,1,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2886,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2887,65,nymph,0,0,1,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2888,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2889,65,nymph,1,1,1,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2890,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2891,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2892,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2893,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2894,65,nymph,1,1,0,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2895,65,nymph,0,0,1,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2896,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2897,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2898,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2899,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2900,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2901,65,nymph,0,0,,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2902,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2903,65,nymph,0,0,1,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2904,65,nymph,0,1,0,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2905,65,nymph,0,0,1,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2906,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2907,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2908,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2909,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2910,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2911,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2912,65,nymph,1,1,1,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2913,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2914,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2915,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2916,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2917,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,6,6,1,6
2918,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,7,6,1,7
2919,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,7,6,1,7
2920,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,7,6,1,7
2921,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,7,6,1,7
2922,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,7,6,1,7
2923,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,7,6,1,7
2924,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,7,6,1,7
2925,65,nymph,1,1,1,0,900,16,829,flagging,tick,15,1872,7,6,1,7
2926,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,7,6,1,7
2927,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,7,6,1,7
2928,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,7,6,1,7
2929,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,7,6,1,7
2930,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,7,6,1,7
2931,65,nymph,0,0,0,0,900,16,829,flagging,tick,15,1872,7,6,1,7
2932,65,nymph,0,0,1,0,900,16,829,flagging,tick,13,1872,7,6,1,7
2933,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,7,6,1,7
2934,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,7,6,1,7
2935,65,nymph,1,0,1,0,900,16,829,flagging,tick,13,1872,7,6,1,7
2936,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,7,6,1,7
2937,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,7,6,1,7
2938,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,7,6,1,7
2939,65,nymph,0,1,1,0,900,16,829,flagging,tick,13,1872,7,6,1,7
2940,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,7,6,1,7
2941,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,7,6,1,7
2942,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,7,6,1,7
2943,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,7,6,1,7
2944,65,nymph,0,0,1,0,900,16,829,flagging,tick,13,1872,7,6,1,7
2945,65,nymph,0,0,1,0,900,16,829,flagging,tick,13,1872,7,6,1,7
2946,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,7,6,1,7
2947,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,7,6,1,7
2948,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,7,6,1,7
2949,65,nymph,0,1,1,0,900,16,829,flagging,tick,13,1872,7,6,1,7
2950,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,7,6,1,7
2951,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,7,6,1,7
2952,65,nymph,1,0,1,0,900,16,829,flagging,tick,13,1872,7,6,1,7
2953,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2954,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2955,65,nymph,0,0,1,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2956,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2957,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2958,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2959,65,nymph,1,1,1,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2960,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2961,65,nymph,0,0,1,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2962,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2963,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2964,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2965,65,nymph,0,0,1,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2966,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2967,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2968,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2969,65,nymph,0,0,1,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2970,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2971,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2972,65,nymph,1,0,1,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2973,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2974,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2975,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2976,65,nymph,0,0,1,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2977,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2978,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2979,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2980,65,nymph,1,0,0,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2981,65,nymph,0,1,1,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2982,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2983,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2984,65,nymph,0,1,0,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2985,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2986,65,nymph,0,0,1,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2987,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,8,6,1,8
2988,65,nymph,0,0,0,0,900,16,829,flagging,tick,13,1872,8,6,1,9
2989,65,nymph,1,0,1,0,900,16,829,flagging,tick,13,1872,9,6,1,9
2990,65,nymph,0,0,1,0,900,16,829,flagging,tick,13,1872,9,6,1,9
2991,65,nymph,1,0,1,1,900,16,829,flagging,tick,13,1872,9,6,1,9
